ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,noxn_in_drinking_water
1.000000000000000000e+00,-7.979279279402294159e+09,1.246762241098999977e+06,5.131503162642197609e+09,1.399714798241252899e+09,-4.738729040841339111e+09,8.425664321622999385e+06,1.391436217138700001e+07,3.922154545312599838e+07,-4.716389014348329544e+09,3.262890265053965092e+09,1.482192112616800144e+07
2.000000000000000000e+00,-7.992251241400911331e+09,1.249652498974000104e+06,5.157054439955715179e+09,1.406580101313519001e+09,-4.729157194478546143e+09,8.273854276130001061e+06,7.035917374512000009e+06,2.029657635937599838e+07,-4.713847422827903748e+09,3.278403818573008060e+09,1.482881556928399950e+07
3.000000000000000000e+00,-7.513051144489188194e+09,1.186511793091000058e+06,4.376659632081235886e+09,1.198661395195036888e+09,-4.534096605416045189e+09,8.320310424660000950e+06,3.544124763549810052e+08,9.216075150283219814e+08,-4.171363818636404037e+09,3.341687325852785110e+09,1.492680662056799978e+07
4.000000000000000000e+00,-7.302451161228994370e+09,1.166095380075000226e+06,4.145614975077719212e+09,1.137352432348530769e+09,-4.449151845955106735e+09,8.399173893350999802e+06,4.755692854038090110e+08,1.233863843344727993e+09,-3.965183386657946587e+09,3.337267774571046829e+09,1.494520932719600014e+07
5.000000000000000000e+00,-8.058877958144325256e+09,1.272368011505999835e+06,5.457409542688879013e+09,1.488391442056756020e+09,-4.797654466627956390e+09,6.109242949461000040e+06,5.297831135249999352e+05,1.287242627930999966e+06,-4.791015440564970970e+09,3.267862517579354763e+09,1.479560235363100097e+07
6.000000000000000000e+00,-7.972366972632171631e+09,1.246042395040999865e+06,5.102299250712252617e+09,1.391839549692119837e+09,-4.703195503357453346e+09,8.240468162056999281e+06,2.059123281005899608e+07,5.562157460937599838e+07,-4.674363802385337830e+09,3.298003170246834755e+09,1.484746123275499977e+07
7.000000000000000000e+00,-5.681815069783960342e+09,1.081539591844000155e+06,2.869872511100086212e+09,8.039294678530579805e+08,-3.950407906521514893e+09,2.424066933358999435e+06,1.568651130226073980e+09,3.893443551389649868e+09,-2.379332709362082005e+09,3.302482360421878815e+09,1.511870303795600124e+07
8.000000000000000000e+00,-8.046899961370251656e+09,1.266881181639000075e+06,5.372101216552241325e+09,1.465126235186152935e+09,-4.788037645387723923e+09,6.799238444239999168e+06,5.671988703610000666e+05,1.415623182619000087e+06,-4.780671208073122025e+09,3.266228753297128677e+09,1.479964443526400067e+07
9.000000000000000000e+00,-2.021941720541843891e+09,9.989986612650000025e+05,1.734483503402069092e+09,5.111974948505270481e+08,-2.657659051091524124e+09,3.337298461310000275e+05,2.837786610465759277e+09,6.995365552493165970e+09,1.804612892203660011e+08,2.202403009762209892e+09,1.455293540972200036e+07
1.000000000000000000e+01,-8.055861761694788933e+09,1.270914758073000005e+06,5.432184473487550735e+09,1.481511877729120970e+09,-4.797716801936552048e+09,6.313696455151999369e+06,5.297831135249999352e+05,1.287242627930999966e+06,-4.790873322367875099e+09,3.264988439326913834e+09,1.479565686208299920e+07
